eval,fitness,prey_move_cost,prey_forage_rate,pred_base_cost,pred_move_cost,pred_bite_reward,pred_transfer_eff,pred_digest_time,pred_repro_thresh,maturity_age,prey_cooldown,pred_cooldown,parent_energy_split,spawn_offset,heading_jitter,pred_density_k,newborn_hunt_cooldown,max_prey,max_pred,refugia_strength,part_spawn_rate,part_initial_mass,part_deposit_rate,part_pickup_rate,part_cell_capacity
17,-100000.000000,0.181875,0.100000,0.002000,0.025699,0.400000,1.000000,1.631166,0.950000,4.568854,4.000000,20.000000,0.700000,30.000000,0.000000,69.129636,4.328051,1851.416127,40.000000,0.826787,181.853449,0.002000,0.500000,0.100000,0.300000
18,-100000.000000,0.050000,0.020000,0.005559,0.080000,0.400000,0.938193,0.200000,0.922289,7.623221,4.000000,6.000000,0.700000,30.000000,0.000000,0.000000,3.485875,419.980115,40.000000,1.500000,93.447689,0.047712,0.500000,0.100000,2.000000
19,-100000.000000,0.250000,0.020000,0.002000,0.019884,0.400000,1.000000,0.200000,0.583798,2.000000,13.801850,20.000000,0.400000,5.000000,0.776725,0.000000,0.500000,299.042510,1000.000000,1.500000,20.000000,0.026478,2.776606,3.000000,0.793548
20,-100000.000000,0.050000,0.079999,0.002000,0.031522,0.400000,1.000000,3.000000,0.739006,2.000000,13.974644,8.311577,0.457228,30.000000,0.000000,0.000000,5.000000,200.000000,366.878356,0.500000,21.533165,0.002000,4.938821,0.100000,0.723374
21,-100000.000000,0.050000,0.100000,0.013174,0.010000,0.800000,1.000000,1.510563,0.950000,15.000000,6.131708,15.200219,0.700000,5.000000,1.000000,0.000000,5.000000,1728.465340,40.000000,0.853417,205.036550,0.002000,5.000000,0.100000,0.300000
22,-100000.000000,0.050000,0.020000,0.020000,0.010000,0.400000,1.000000,3.000000,0.500000,9.706961,4.000000,11.683806,0.700000,25.724072,1.000000,0.000000,0.500000,1723.403514,40.000000,1.500000,227.925523,0.050000,0.500000,0.100000,0.300000
23,-100000.000000,0.085094,0.072031,0.020000,0.080000,0.596218,1.000000,0.200000,0.907990,15.000000,13.204374,6.000000,0.400000,30.000000,0.000000,0.000000,0.500000,200.000000,1000.000000,0.500000,20.000000,0.050000,0.697606,0.100000,0.797726
24,-100000.000000,0.050000,0.066726,0.020000,0.024279,0.800000,0.735275,0.200000,0.579018,9.078056,19.520202,6.493069,0.700000,5.000000,0.000000,300.000000,0.500000,1382.326050,159.102369,0.625391,115.040808,0.022133,5.000000,0.149176,2.000000
25,-100000.000000,0.250000,0.100000,0.002000,0.043246,0.400000,0.600000,0.200000,0.504378,8.807488,20.000000,6.000000,0.400000,12.116009,1.000000,245.646368,5.000000,937.543820,40.000000,1.500000,300.000000,0.050000,5.000000,3.000000,2.000000
26,-100000.000000,0.050000,0.094287,0.002000,0.010000,0.800000,0.927266,1.820403,0.950000,15.000000,4.000000,20.000000,0.700000,14.989202,0.000000,265.585075,0.500000,776.146302,40.000000,1.472920,144.108999,0.045033,0.500000,0.460471,0.300000
27,-100000.000000,0.050000,0.020000,0.012402,0.054455,0.741992,0.600000,3.000000,0.500000,9.452678,4.000000,6.000000,0.580063,24.341799,1.000000,0.000000,5.000000,200.000000,40.000000,1.500000,56.446531,0.050000,5.000000,0.100000,0.300000
28,-100000.000000,0.250000,0.045379,0.003974,0.010000,0.632437,1.000000,0.200000,0.950000,15.000000,20.000000,9.528979,0.700000,30.000000,1.000000,0.000000,5.000000,513.385645,424.006471,1.493475,20.000000,0.020874,5.000000,1.031695,2.000000
29,-100000.000000,0.050000,0.073038,0.006066,0.080000,0.400000,1.000000,2.673749,0.500000,5.470743,7.240536,10.532854,0.700000,30.000000,0.000000,0.000000,5.000000,1198.477966,40.000000,0.809478,20.303553,0.005561,0.500000,0.100000,1.061745
30,-100000.000000,0.050000,0.100000,0.020000,0.010000,0.800000,0.702693,3.000000,0.526775,3.450143,5.865086,6.000000,0.466328,28.929171,0.425144,118.662842,0.500000,2000.000000,40.000000,0.500000,20.000000,0.002000,0.500000,0.100000,1.616746
31,-100000.000000,0.250000,0.020000,0.002000,0.020797,0.800000,0.600000,0.200000,0.950000,15.000000,4.000000,20.000000,0.461260,30.000000,0.807933,300.000000,0.500000,1698.769653,781.239502,0.551924,87.924343,0.050000,5.000000,0.100000,0.338000
